Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
62.0,"(14.00, 250.00)","(16.00, 192.67)","(-28.00, 243.00)","(-42.00, 204.00)","(4.00, 298.00)","(45.00, 156.00)","(57.00, 298.00)"
62.25,"(14.00, 250.00)","(15.75, 193.58)","(-28.00, 243.00)","(-42.00, 204.00)","(4.00, 298.00)","(45.00, 156.00)","(57.00, 298.00)"
62.5,"(14.00, 250.00)","(15.50, 194.50)","(-28.00, 243.00)","(-42.00, 204.00)","(4.00, 298.00)","(45.00, 156.00)","(57.00, 298.00)"
62.75,"(14.00, 250.00)","(15.25, 195.42)","(-28.00, 243.00)","(-42.00, 204.00)","(4.00, 298.00)","(45.00, 156.00)","(57.00, 298.00)"
63.0,"(14.00, 250.00)","(15.00, 196.33)","(-28.00, 243.00)","(-42.00, 204.00)","(4.00, 298.00)","(45.00, 156.00)","(57.00, 298.00)"
63.25,"(13.25, 252.50)","(14.75, 197.25)","(-30.00, 245.75)","(-41.50, 204.00)","(4.00, 299.50)","(45.25, 157.50)","(56.25, 299.00)"
63.5,"(12.50, 255.00)","(14.50, 198.17)","(-32.00, 248.50)","(-41.00, 204.00)","(4.00, 301.00)","(45.50, 159.00)","(55.50, 300.00)"
63.75,"(11.75, 257.50)","(14.25, 199.08)","(-34.00, 251.25)","(-40.50, 204.00)","(4.00, 302.50)","(45.75, 160.50)","(54.75, 301.00)"
64.0,"(11.00, 260.00)","(14.00, 200.00)","(-36.00, 254.00)","(-40.00, 204.00)","(4.00, 304.00)","(46.00, 162.00)","(54.00, 302.00)"
64.25,"(11.00, 261.00)","(15.00, 202.00)","(-37.50, 258.00)","(-40.00, 204.00)","(2.50, 305.25)","(46.67, 166.29)","(54.00, 302.00)"
64.5,"(11.00, 262.00)","(16.00, 204.00)","(-39.00, 262.00)","(-40.00, 204.00)","(1.00, 306.50)","(47.34, 170.58)","(54.00, 302.00)"
64.75,"(11.00, 263.00)","(17.00, 206.00)","(-40.50, 266.00)","(-40.00, 204.00)","(-0.50, 307.75)","(48.00, 174.88)","(54.00, 302.00)"
65.0,"(11.00, 264.00)","(18.00, 208.00)","(-42.00, 270.00)","(-40.00, 204.00)","(-2.00, 309.00)","(48.67, 179.17)","(54.00, 302.00)"
