Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
32.19009900990099,"(-10.10, 100.56)","(5.90, 45.56)","(-50.10, 160.56)","(-52.10, 4.56)","(-0.10, 146.56)","(38.63, 50.81)","(39.90, 110.56)"
32.44158415841584,"(-9.95, 100.58)","(5.53, 46.08)","(-49.60, 161.52)","(-51.07, 5.03)","(0.43, 146.77)","(35.88, 54.12)","(39.88, 110.32)"
32.693069306930695,"(-9.89, 100.37)","(5.48, 46.86)","(-49.30, 161.20)","(-50.21, 5.64)","(0.73, 146.68)","(33.28, 58.47)","(40.06, 110.40)"
32.94455445544555,"(-9.93, 100.26)","(5.69, 47.75)","(-49.14, 160.56)","(-49.88, 6.18)","(0.55, 146.54)","(31.78, 63.02)","(40.13, 110.55)"
33.19603960396039,"(-9.61, 100.74)","(6.39, 48.74)","(-48.61, 160.74)","(-49.61, 6.74)","(0.39, 146.74)","(32.39, 66.74)","(40.39, 110.74)"
33.447524752475246,"(-9.36, 101.84)","(6.95, 49.64)","(-48.12, 162.29)","(-49.47, 7.26)","(0.12, 147.34)","(34.61, 68.61)","(40.47, 110.80)"
33.6990099009901,"(-9.32, 103.43)","(7.08, 50.42)","(-47.88, 165.29)","(-49.23, 7.77)","(-0.01, 148.32)","(37.64, 68.42)","(40.39, 110.75)"
33.95049504950495,"(-9.44, 105.19)","(6.84, 51.12)","(-47.90, 169.33)","(-48.62, 8.30)","(0.35, 149.52)","(40.58, 66.84)","(40.33, 110.71)"
34.201980198019804,"(-9.39, 107.61)","(6.61, 52.61)","(-47.89, 174.61)","(-47.39, 9.61)","(1.61, 151.61)","(42.93, 65.92)","(40.61, 111.61)"
34.45346534653466,"(-9.23, 109.81)","(6.46, 54.19)","(-47.80, 179.94)","(-45.86, 10.93)","(3.55, 153.79)","(44.22, 66.17)","(41.07, 112.78)"
34.7049504950495,"(-8.96, 111.57)","(6.46, 55.56)","(-47.44, 184.83)","(-44.29, 12.00)","(5.81, 155.81)","(44.58, 67.95)","(41.59, 113.92)"
34.956435643564355,"(-8.64, 113.09)","(6.57, 56.68)","(-46.63, 189.33)","(-42.81, 12.85)","(7.97, 157.73)","(44.53, 71.07)","(42.11, 114.91)"
35.20792079207921,"(-8.60, 113.90)","(6.40, 56.90)","(-45.60, 192.90)","(-41.60, 12.90)","(9.40, 158.90)","(44.41, 73.99)","(42.40, 114.90)"
